lat,lon,height_m
53.4353884882726,-1.16353767332142,4.572
53.44207,-1.125267,4.648
53.4464276630759,-1.12554752537435,4.699
53.547008,-1.078952,4.648
53.552576,-1.083906,4.343
54.9478263936135,-1.62365530650302,4.877
50.835832,-0.173032,3.353
50.836072298,-0.177260461,4.724
50.83264,-0.235578,4.039
50.832287,-0.238707,3.581
50.831755,-0.243002,3.81
50.831576,-0.244922,3.658
50.834608,-0.275782,3.962
50.834566,-0.277225,2.438
50.834509871,-0.27811096,3.886
50.834385,-0.279496,4.724
50.831767,-0.295249,2.134
50.8273998646128,-0.320521788005561,4.267
51.4521974404446,-2.56726348135523,4.42
50.80276,-1.584552,3.658
50.794261,-1.581198,3.734
50.783338,-1.56996,3.658
50.771493,-1.551829,4.343
51.21919,1.398783,3.962
51.212836,1.395187,3.886
51.210077653,1.391720758,3.277
51.202509157,1.381736686,4.343
51.188772,1.366516,3.505
51.16910841,1.346266188,4.115
51.1635654758435,1.34004029571665,4.267
51.5042307,-0.0967735,4.953
51.500572,-0.11449,3.81
51.500017,-0.114698,4.42
51.499789,-0.114738,4.648
51.499119,-0.114588,4.496
51.4950864709718,-0.116135281677501,4.267
51.494359618315,-0.116641364774704,4.572
51.4936718199349,-0.117239126891263,4.42
51.492525,-0.118483,3.886
51.491907,-0.119354,4.191
51.491389,-0.120208,4.115
51.4897571285566,-0.122102692545915,4.267
51.488769,-0.122336,4.42
51.487782,-0.122407,4.039
51.4829928060646,-0.125363790472259,4.191
51.4779719381589,-0.139621190850854,4.191
51.4766258383974,-0.142728287295929,4.267
51.475085,-0.146545,4.724
51.470226793,-0.156936162,3.048
51.467707,-0.163005,4.648
51.4653366263562,-0.168608533048409,4.877
51.412743,-0.219429,2.362
51.4038224271975,-0.256860580105337,4.801
51.402132,-0.26533,2.743
51.401558,-0.268184,4.801
51.390778,-0.308271,4.496
51.3875295029007,-0.316025637875989,4.267
51.3863362862758,-0.318887850422449,4.039
51.38542,-0.321459,3.353
51.383380704763,-0.328600366731496,2.743
51.382177364,-0.333485638,4.267
51.380845,-0.341324,4.039
51.380352,-0.348002,4.801
51.380027,-0.353605,3.962
51.379754,-0.358996,3.353
51.379522,-0.36965,3.048
51.376755,-0.390272,3.277
51.374001,-0.407026,3.81
51.349336,-0.481946,2.896
51.341721,-0.500013,2.972
51.324678,-0.541989,4.115
51.317241,-0.560308,4.115
51.31194,-0.574463,4.343
51.30562,-0.613187,3.429
51.30439,-0.625846,4.191
51.302894,-0.647314,3.505
51.300003,-0.728824,3.886
51.298723,-0.741508,3.124
51.296144,-0.764205,3.048
51.287251,-0.874634,4.724
51.2861755743851,-0.889701737574315,4.343
51.281215,-0.948335,3.048
51.276815709,-0.995460007,4.648
51.2753225149867,-1.01403389199693,3.785
51.272861,-1.044222,2.362
51.268768,-1.085745,2.591
51.2683537710646,-1.08953605281497,3.277
51.2683732,-1.08933287767855,4.496
51.268353,-1.089547,4.496
51.262048,-1.135696,4.343
51.2539871516315,-1.1541855714303,3.581
51.253963,-1.153976,3.581
51.240782,-1.186407,2.743
51.231691,-1.217983,3.023
51.224635,-1.233147,3.378
51.1523683983236,-1.27930130905665,3.429
51.146641707,-1.282663896,3.429
51.097165,-1.311019,3.658
51.091683,-1.31267,3.048
51.085846142,-1.314417596,3.658
51.067601,-1.319875,4.42
51.055654627,-1.324215953,3.277
51.051288,-1.32583,3.2
51.0223391,-1.3274713,4.115
51.022426,-1.327562,4.115
51.0002998898524,-1.33691818105131,4.801
50.98747202,-1.344761773,3.683
50.94219,-1.375377,3.353
50.929038,-1.383987,2.667
50.8242495999021,-1.55770117744886,4.343
50.8156907952764,-1.57462863716661,4.039
50.799779,-1.589391,3.658
50.788436584,-1.602445321,4.42
50.7797257293714,-1.61793488606882,4.343
50.752155848,-1.680772187,3.505
50.7449563834369,-1.75660237979774,4.801
50.7444646671457,-1.75891601816507,4.496
50.742559,-1.768498,4.724
50.736153709,-1.799852924,4.039
50.735437,-1.808479,3.886
50.727935801753,-1.86578477707401,3.277
50.732664196,-1.879544707,3.581
50.727859,-1.915931,3.505
50.724876539,-1.925017743,4.42
50.724325199,-1.927380694,3.277
50.716673979,-1.963128704,2.286
50.70338,-2.372314,3.81
50.7093772455718,-2.42934397164954,3.734
50.692902,-2.45059,3.734
50.664472,-2.464979,4.42
50.6582250749299,-2.46585324686622,3.353
50.6544033845436,-2.46674575405537,4.191
51.422089346,0.023927374,3.962
54.9754556416178,-1.44219193532718,4.572
51.542929,-0.117427,4.724
51.5410750275978,-0.125045581547534,5.207
51.5410954616562,-0.131821603705473,4.039
51.541423,-0.135378,4.572
51.541478,-0.135813,4.572
51.541622,-0.136941,4.267
51.541924192,-0.138469669,4.724
51.541806186,-0.138418093,4.724
51.542071,-0.141268,4.724
51.5420880507219,-0.141937273017916,4.572
51.546392,-0.146666,5.029
51.5485062448504,-0.147109813084166,4.648
51.5488202204683,-0.147190352814689,4.648
51.555114,-0.150785,3.886
51.545285,-0.201945,4.801
51.53169,-0.24355,3.429
51.5318,-0.24389,3.429
51.506516,-0.26372,4.724
51.503277,-0.26593,4.42
51.875111,0.561589,4.039
51.874055,0.565195,4.039
51.4464386192638,-2.56953859417418,4.343
51.4463357885249,-2.56950303633572,4.343
51.4464014839456,-2.56952081110743,4.343
51.44562,-2.57567,4.267
51.445646,-2.575669,4.267
51.475731,-3.187402,4.724
51.4711312225372,-3.19188229066821,4.115
51.4679933849517,-3.18977411433639,4.877
51.4679134669299,-3.1899105401649,4.877
51.4453291129439,-3.18996098750858,4.648
51.432444,-3.216744,2.819
51.412655,-3.248161,3.886
51.4125897039326,-3.24794352167206,3.886
51.401919,-3.264217,4.191
51.399218259,-3.282048342,3.886
51.39235,-3.275975,4.42
51.4653214204827,-2.56468067474157,4.42
51.4653647138597,-2.56458312833688,4.42
51.4666751827677,-2.56563101379583,4.496
51.4667239122634,-2.56545449556368,4.496
51.4681877590339,-2.5671040228831,4.42
51.4750312995486,-2.57565122934316,3.505
51.5225931581694,-2.56117327251026,4.039
51.5283966131304,-2.56380346271225,4.343
51.5532155808463,-2.61587532271825,3.658
51.5552355155134,-2.62308574962724,3.886
51.48349,-0.052727,4.42
51.482678,-0.052726,4.343
51.480955,-0.05303,4.496
51.47079366,-0.062001971,4.115
51.46999,-0.06852,4.877
51.4690608127655,-0.0726727944306939,4.801
51.452741,-0.090806,4.343
51.4467577571375,-0.0995533446779236,4.648
51.44067,-0.10401,4.115
51.368827,-0.165329,4.648
51.368227,-0.167493,4.42
51.366181,-0.171178,3.81
51.360635509,-0.186885336,4.267
51.35732,-0.20487,2.972
51.355407,-0.216193,4.115
51.345932,-0.239884,4.42
51.334488,-0.264125,4.648
51.334663584,-0.26775299,4.724
51.33327,-0.27236,3.81
51.296476,-0.33409,4.496
51.292705,-0.335885,4.42
51.247113,-0.326632,3.429
51.2192891053444,-0.302161497086203,4.191
51.18956501,-0.305834598,4.267
51.150409,-0.336185,4.039
51.078313,-0.324659,3.886
53.40989,-1.42281,4.496
50.838400781,-0.129075908,4.572
50.856469243,-0.099290663,4.039
50.858822,-0.094967,2.134
